Trail;round;component id;value;components_values_as_list.type.keyword: Descending;description;Count
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;-1;key;0000012480000000000000041400000000000120820000000000000020820000;no_type;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;0;intermediate_output_0_5;0000000020820000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;1;intermediate_output_1_11;0000000004100000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;2;intermediate_output_2_11;0000000020840000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;3;intermediate_output_3_11;0000000000240000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;4;intermediate_output_4_11;0000000000040000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;5;intermediate_output_5_11;0000000000240400;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;6;intermediate_output_6_11;0000000000002000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;7;intermediate_output_7_11;0000000000000400;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;8;intermediate_output_8_11;0000000000002004;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;9;intermediate_output_9_11;0000000000000024;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;10;intermediate_output_10_11;0000000000000000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;11;intermediate_output_11_11;0400000000000000;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;12;intermediate_output_12_11;2000000000000100;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;13;intermediate_output_13_11;0000000000000900;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;14;intermediate_output_14_11;0004000000004100;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;15;intermediate_output_15_11;0024000000024901;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;16;intermediate_output_16_11;0004000000100108;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;17;intermediate_output_17_11;0024040000900941;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_key_output;18;intermediate_output_18_11;0004200004104308;intermediate_output;round_key_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;-1;plaintext;00000020800000000000000000020000;no_type;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;0;intermediate_output_0_6;00000000000000000000000000100000;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;1;intermediate_output_1_12;00000000040000000000000004800000;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;2;intermediate_output_2_12;00000000240000000000000000000000;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;3;intermediate_output_3_12;00000000000000000000000000000000;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;4;intermediate_output_4_12;00000000000400000000000000040000;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;5;intermediate_output_5_12;00000000002000000000000000000000;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;6;intermediate_output_6_12;00000000000000000000000000000000;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;7;intermediate_output_7_12;00000000000004000000000000000400;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;8;intermediate_output_8_12;00000000000024000000000000000400;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;9;intermediate_output_9_12;00000000000004000000000000002400;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;10;intermediate_output_10_12;00000000000024040000000000010404;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;11;intermediate_output_11_12;00000000000104200000000000092400;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;12;intermediate_output_12_12;00000000000924040000000000400404;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;13;intermediate_output_13_12;04000000004004200400000002402400;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;14;intermediate_output_14_12;24000000024025040400000010410504;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;15;intermediate_output_15_12;0000000010410c202000000092492400;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;16;intermediate_output_16_12;00040000924964040004000400004405;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;17;intermediate_output_17_12;04200004000204200400002400002408;intermediate_output;round_output;1
bfca8e3e-dffe-4be1-8c44-6c21fef360c5 round_output;18;cipher_output_18_12;24000024001065040400010400114544;cipher_output;round_output;1
